Country,Elevation
 Tanzania,"1,018 m (3,340 ft)"
 Thailand,287 m (942 ft)
 Togo,236 m (774 ft)
 Trinidad and Tobago,83 m (272 ft)
 Tunisia,246 m (807 ft)
 Turkey,"1,132 m (3,714 ft)"
 Turkmenistan,230 m (755 ft)
 Ukraine,175 m (574 ft)
 United Arab Emirates,149 m (489 ft)
 United Kingdom,162 m (531 ft)
 United States,"760 m (2,493 ft)"
 Uruguay,109 m (358 ft)
 Venezuela,"450 m (1,476 ft)"
 Vietnam,"398 m (1,306 ft)"
 Western Sahara,256 m (840 ft)
 Yemen,"999 m (3,278 ft)"
 Zambia,"1,138 m (3,734 ft)"
 Zimbabwe,"961 m (3,153 ft)"
